index_name,value,timestamp,date
深证指数,10275.15,2025-01-21 09:37:11,2025-01-21
上证指数,3238.5833,2025-01-21 09:37:13,2025-01-21
深证指数,10236.00,2025-01-21 10:11:25,2025-01-21
上证指数,3240.1327,2025-01-21 10:11:27,2025-01-21
深证指数,10236.51,2025-01-21 10:11:39,2025-01-21
上证指数,3241.2668,2025-01-21 10:11:40,2025-01-21
深证指数,10239.24,2025-01-21 10:13:44,2025-01-21
上证指数,3240.3118,2025-01-21 10:13:46,2025-01-21
深证指数,10245.13,2025-01-21 10:16:03,2025-01-21
上证指数,3240.2817,2025-01-21 10:16:04,2025-01-21
深证指数,10245.13,2025-01-21 10:16:11,2025-01-21
上证指数,3239.2749,2025-01-21 10:16:13,2025-01-21
深证指数,10239.92,2025-01-21 10:18:09,2025-01-21
上证指数,3239.6381,2025-01-21 10:18:10,2025-01-21
深证指数,10234.81,2025-01-21 10:20:37,2025-01-21
上证指数,3239.3536,2025-01-21 10:20:39,2025-01-21
深证指数,10251.59,2025-01-21 11:05:49,2025-01-21
上证指数,3236.033,2025-01-21 11:05:50,2025-01-21
深证指数,10264.62,2025-01-21 11:14:48,2025-01-21
上证指数,3237.9517,2025-01-21 11:14:50,2025-01-21
深证指数,10311.81,2025-01-21 11:41:07,2025-01-21
上证指数,3249.8538,2025-01-21 11:41:09,2025-01-21
深证指数,10311.81,2025-01-21 11:42:40,2025-01-21
上证指数,3249.8538,2025-01-21 11:42:42,2025-01-21
深证指数,10311.81,2025-01-21 12:00:48,2025-01-21
上证指数,3249.8538,2025-01-21 12:00:50,2025-01-21
深证指数,10307.19,2025-01-21 13:00:54,2025-01-21
上证指数,3246.8118,2025-01-21 13:00:56,2025-01-21
深证指数,10305.69,2025-01-21 15:23:25,2025-01-21
上证指数,3242.6226,2025-01-21 15:23:27,2025-01-21
深证指数,10305.69,2025-01-21 15:23:42,2025-01-21
上证指数,3242.6226,2025-01-21 15:23:44,2025-01-21
深证指数,10305.69,2025-01-21 15:23:49,2025-01-21
上证指数,3242.6226,2025-01-21 15:23:51,2025-01-21
深证指数,10305.69,2025-01-21 15:45:45,2025-01-21
上证指数,3242.6226,2025-01-21 15:45:47,2025-01-21
深证指数,10305.69,2025-01-21 18:00:49,2025-01-21
上证指数,3242.6226,2025-01-21 18:00:50,2025-01-21
深证指数,10216.50,2025-01-22 13:00:50,2025-01-22
上证指数,3212.9153,2025-01-22 13:00:52,2025-01-22
深证指数,10225.87,2025-01-22 18:00:48,2025-01-22
上证指数,3213.6237,2025-01-22 18:00:50,2025-01-22
深证指数,10269.38,2025-01-23 13:00:51,2025-01-23
上证指数,3246.4573,2025-01-23 13:00:52,2025-01-23
深证指数,10176.17,2025-01-23 18:00:52,2025-01-23
上证指数,3230.1637,2025-01-23 18:00:53,2025-01-23
深证指数,10286.82,2025-01-24 13:00:49,2025-01-24
上证指数,3253.6941,2025-01-24 13:00:51,2025-01-24
深证指数,10296.11,2025-01-24 14:33:43,2025-01-24
上证指数,3255.5485,2025-01-24 14:33:44,2025-01-24
深证指数,10296.37,2025-01-24 14:33:50,2025-01-24
上证指数,3255.3189,2025-01-24 14:33:52,2025-01-24
深证指数,10296.10,2025-01-24 14:33:57,2025-01-24
上证指数,3255.3796,2025-01-24 14:33:58,2025-01-24
深证指数,10292.73,2025-01-24 18:00:59,2025-01-24
上证指数,3252.6264,2025-01-24 18:01:01,2025-01-24
深证指数,10292.73,2025-01-25 13:00:49,2025-01-24
上证指数,3252.6264,2025-01-25 13:00:51,2025-01-24
深证指数,10292.73,2025-01-25 18:00:47,2025-01-24
上证指数,3252.6264,2025-01-25 18:00:49,2025-01-24
深证指数,10292.73,2025-01-26 13:00:52,2025-01-24
上证指数,3252.6264,2025-01-26 13:00:54,2025-01-24
上证指数,3252.6264,2025-01-26 18:01:24,2025-01-24
深证指数,10227.65,2025-01-27 13:00:49,2025-01-27
上证指数,3261.9725,2025-01-27 13:00:51,2025-01-27
深证指数,10156.07,2025-01-27 18:00:46,2025-01-27
上证指数,3250.6007,2025-01-27 18:00:48,2025-01-27
深证指数,10156.07,2025-01-28 13:00:49,2025-01-27
上证指数,3250.6007,2025-01-28 13:00:51,2025-01-27
深证指数,10156.07,2025-01-28 18:00:47,2025-01-27
上证指数,3250.6007,2025-01-28 18:00:49,2025-01-27
深证指数,10156.07,2025-01-29 13:00:49,2025-01-27
上证指数,3250.6007,2025-01-29 13:00:51,2025-01-27
深证指数,10156.07,2025-01-29 18:00:46,2025-01-27
上证指数,3250.6007,2025-01-29 18:00:48,2025-01-27
深证指数,10156.07,2025-01-30 13:00:48,2025-01-27
上证指数,3250.6007,2025-01-30 13:00:50,2025-01-27
深证指数,10156.07,2025-01-30 18:00:47,2025-01-27
上证指数,3250.6007,2025-01-30 18:00:48,2025-01-27
